Package                          Current   Wanted  Latest  Location  Depended by
@base-ui/react                   MISSING    1.3.0   1.3.0  -         ui
@prisma/client                   MISSING    6.0.1   7.6.0  -         ui
@radix-ui/react-visually-hidden  MISSING    1.2.4   1.2.4  -         ui
axios                            MISSING   1.14.0  1.14.0  -         ui
class-variance-authority         MISSING    0.7.1   0.7.1  -         ui
clsx                             MISSING    2.1.1   2.1.1  -         ui
dotenv                           MISSING   17.4.1  17.4.1  -         ui
lucide-react                     MISSING  0.577.0   1.7.0  -         ui
next                             MISSING  15.5.14  16.2.2  -         ui
next-themes                      MISSING    0.4.6   0.4.6  -         ui
pino                             MISSING   10.3.1  10.3.1  -         ui
pino-pretty                      MISSING   13.1.3  13.1.3  -         ui
react                            MISSING   19.2.4  19.2.4  -         ui
react-dom                        MISSING   19.2.4  19.2.4  -         ui
shadcn                           MISSING    4.1.2   4.1.2  -         ui
sonner                           MISSING    2.0.7   2.0.7  -         ui
tailwind-merge                   MISSING    3.5.0   3.5.0  -         ui
tw-animate-css                   MISSING    1.4.0   1.4.0  -         ui
zod                              MISSING    4.3.6   4.3.6  -         ui
zustand                          MISSING   5.0.12  5.0.12  -         ui
